Nombre;Año;Axis;Diametro;Peso
Bronze Large AE2 of Constantius II- Alexandria- AD 348 - AD 350. 1947.97.188 ;AD-348;12;22.5;5.97
Bronze AE3 of Constantine I- Cyzicus- AD 329 - AD 330. 1944.100.8823 ;AD-329;7;18.5;2.12
Bronze Sestertius of Vespasian- Lugdunum- AD 71. 1944.100.41595 ;AD-71.;6;33.0;23.55
Bronze AE3 of Licinius- Cyzicus- AD 317 - AD 320. 1944.100.8749 ;AD-317;6;19.0;2.86
Silver Denarius of Augustus- Rome- 13 BC. 1957.172.1469 ;13-BC.;2;20.0;3.84
Bronze Sestertius of Antoninus Pius- Rome- AD 140 - AD 144. 1946.35.18 ;AD-140;10;32.0;18.75
Silver Denarius of Marcus Aurelius- Rome- AD 174 - AD 175. 1956.127.875 ;AD-174;10;17.5;3.38
Silver Antoninianus of Diocletian- Antioch- AD 285. 1944.100.38134 ;AD-285.;6;22.0;3.9
Silver Denarius of Trajan- Rome- AD 114. 1956.127.1695 ;AD-114.;6;19.0;3.42
Bronze AE1 of Diocletian- Antioch- AD 297. 1944.100.4091 ;AD-297.;6;26.0;11.27
Silver Denarius of Antoninus Pius- Rome- AD 140 - AD 143. 1948.19.1249 ;AD-140;6;17.0;3.12
Silver Antoninianus of Probus- Antioch- AD 276 - AD 282. 1944.100.36091 ;AD-276;6;21.5;3.37
Silver Denarius of Augustus- Colonia Patricia- 18 BC. 1944.100.39072 ;18-BC.;7;17.5;3.82
Silver Denarius of Trajan- Rome- AD 114 - AD 117. 1956.127.1684 ;AD-114;6;18.0;3.3
Silver Antoninianus of Probus- Tripolis- AD 276 - AD 282. 1944.100.36265 ;AD-276;5;22.6;4.97
Silver Denarius of Antoninus Pius- Rome- AD 147 - AD 148. 1948.19.1257 ;AD-147;6;17.5;3.44
Silver Denarius of Septimius Severus- Rome- AD 196 - AD 211. 1951.94.31 ;AD-196;6;18.0;3.29
Bronze AE3 of Constantine I- Constantinople- AD 330 - AD 333. 1944.100.9240 ;AD-330;11;18.5;2.02
Silver Antoninianus of Probus- Siscia- AD 276 - AD 282. 1944.100.36021 ;AD-276;6;21.125;2.93
Bronze Sestertius of Gordian III- Rome- AD 244. 1946.35.116 ;AD-244.;12;31.0;21.62
Silver Denarius of Vespasian- Rome- AD 77 - AD 78. 1956.127.28 ;AD-77;6;16.5;3.38
Silver Denarius of Trajan- Rome- AD 103 - AD 111. 1944.100.43536 ;AD-103;6;19.0;2.89
Bronze Sestertius of Hadrian- Rome- AD 134 - AD 138. 1944.100.47398 ;AD-134;6;30.0;22.05
Silver Denarius of Antoninus Pius- Rome- AD 141. 1956.127.702 ;AD-141.;6;17.0;3.44
Silver Antoninianus of Carus- Antioch- AD 282 - AD 283. 1944.100.36419 ;AD-282;12;21.0;3.86
Silver Denarius of Hadrian- Rome- AD 119 - AD 122. 1956.127.1748 ;AD-119;5;18.0;2.77
Silver Denarius of Antoninus Pius- Rome- AD 145 - AD 161. 1956.127.385 ;AD-145;6;19.0;3.38
Silver Denarius of Trajan- Rome- AD 114 - AD 117. 1948.19.1176 ;AD-114;6;16.5;3.5
Bronze AE3 of Constantine I- Cyzicus- AD 327 - AD 328. 1944.100.8941 ;AD-327;12;18.0;3.25
Bronze As of Domitian- Rome- AD 84. 1947.2.440 ;AD-84.;6;26.0;9.53
Silver Antoninianus of Allectus- Londinium- AD 293 - AD 296. 1944.100.37973 ;AD-293;7;22.0;4.04
Silver Denarius of Augustus- Lugdunum- 15 BC - 13 BC. 1944.100.39093 ;15-BC;6;20.0;3.76
Silver Denarius of Domitian- Rome- AD 81. 1956.127.1367 ;AD-81.;6;18.0;3.15
Bronze AE2 of Galerius- Thessalonica- AD 310 - AD 311. 1944.100.3711 ;AD-310;12;26.0;6.02
Silver Denarius of Hadrian- Rome- AD 134 - AD 138. 1948.19.1217 ;AD-134;6;18.5;3.26
Bronze AE3 of Licinius- Heraclea- AD 313. 1944.100.3999 ;AD-313.;4;22.0;3.71
Bronze AE3 of Constantine I- Constantinople- AD 333 - AD 335. 1944.100.9302 ;AD-333;5;16.5;2.87
Bronze AE2 of Maximinus Daia- Antioch- AD 312. 1944.100.4466 ;AD-312.;12;21.0;5.29
Bronze AE3 of Constantine I- Antioch- AD 325 - AD 326. 1944.100.8983 ;AD-325;11;19.0;3.06
Silver Denarius of Trajan- Rome- AD 103 - AD 111. 1956.127.1512 ;AD-103;6;16.5;3.17
Silver Denarius of Trajan- Rome- AD 103 - AD 111. 1956.127.1565 ;AD-103;8;18.5;3.03
Silver Denarius of Domitian- Rome- AD 92. 1944.100.42498 ;AD-92.;6;18.0;3.64
Bronze Sestertius of Commodus- Rome- AD 186 - AD 187. 1946.7.24 ;AD-186;12;27.0;20.97
Bronze AE3 of Constantine I- Constantinople- AD 333 - AD 335. 1944.100.9328 ;AD-333;6;17.0;2.82
Silver Antoninianus of Probus- Antioch- AD 276 - AD 282. 1944.100.36220 ;AD-276;6;20.75;4.62
Bronze Quadrans of Augustus- Rome- 5 BC. 1944.100.38410 ;5-BC.;6;15.5;3.35
Bronze AE2 of Maximinus Daia- Antioch- AD 309. 1944.100.4402 ;AD-309.;12;24.0;6.3
Silver Drachma- Colophon- 301 B.C. - 297 B.C.. 1951.16.14 ;301-B.C.;1;18.2;4.18
