Nombre,Fecha,Axis,Diametro,Peso,Anverso,Reverso
Bronze AE1 of Diocletian- Antioch- AD 299 - AD 300. 1944.100.4167 ,AD-299,11,26.5,8.0,http://numismatics.org/collectionimages/19001949/1944/1944.100.4167.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.4167.rev.width350.jpg
Bronze AE3 of Constantius II- Cyzicus- AD 351 - AD 354. 1944.100.85114 ,AD-351,12,18.5,2.55,http://numismatics.org/collectionimages/19001949/1944/1944.100.85114.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.85114.rev.width350.jpg
Bronze AE3 of Constantine I- Constantinople- AD 336 - AD 337. 1944.100.9370 ,AD-336,1,15.0,1.57,http://numismatics.org/collectionimages/19001949/1944/1944.100.9370.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.9370.rev.width350.jpg
Bronze Sestertius of Hadrian- Rome- AD 134 - AD 138. 1944.100.47428 ,AD-134,6,31.0,21.32,http://numismatics.org/collectionimages/19001949/1944/1944.100.47428.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.47428.rev.width350.jpg
Bronze Dupondius of Claudius- Rome- AD 41 - AD 50. 1944.100.39384 ,AD-41,6,27.5,10.38,http://numismatics.org/collectionimages/19001949/1944/1944.100.39384.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.39384.rev.width350.jpg
Silver Denarius of Nero- Rome- AD 64 - AD 65. 1956.127.1270 ,AD-64,7,18.0,3.17,http://numismatics.org/collectionimages/19501999/1956/1956.127.1270.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.1270.rev.width350.jpg
Silver Denarius of Trajan- Rome- AD 103 - AD 111. 1956.127.1471 ,AD-103,7,18.5,3.01,http://numismatics.org/collectionimages/19501999/1956/1956.127.1471.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.1471.rev.width350.jpg
Silver Antoninianus of Carus- Cyzicus- AD 282 - AD 283. 1944.100.36384 ,AD-282,12,21.0,4.02,http://numismatics.org/collectionimages/19001949/1944/1944.100.36384.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.36384.rev.width350.jpg
Silver Denarius of Augustus- Colonia Patricia- 19 BC. 1944.100.39053 ,19-BC.,6,19.5,3.76,http://numismatics.org/collectionimages/19001949/1944/1944.100.39053.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.39053.rev.width350.jpg
Silver Denarius of Hadrian- Rome- AD 134 - AD 138. 1957.172.1660 ,AD-134,7,18.5,3.33,http://numismatics.org/collectionimages/19501999/1957/1957.172.1660.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1957/1957.172.1660.rev.width350.jpg
